三毛电视
刘大夫2025/05/03
有些频道需要软件验证无法播放，欢迎大佬补充方法

央卫咪咕,#genre#
CCTV1综合,https://api.fltv.top/lives/migu.php?id=CCTV1综合&type=1&auth_key=74ec6aebd0db90b0deaee9752cf973d09f1a5bf35fd131ddb4da03c1203b28ba&t=1746185595&session=64b3caaa186f2b60c0c11c1e9d2bc5a9
CCTV2财经,https://api.fltv.top/lives/migu.php?id=CCTV2财经&type=1&auth_key=74ec6aebd0db90b0deaee9752cf973d09f1a5bf35fd131ddb4da03c1203b28ba&t=1746185595&session=64b3caaa186f2b60c0c11c1e9d2bc5a9
CCTV3综艺,https://api.fltv.top/lives/migu.php?id=CCTV3综艺&type=1&auth_key=74ec6aebd0db90b0deaee9752cf973d09f1a5bf35fd131ddb4da03c1203b28ba&t=1746185595&session=64b3caaa186f2b60c0c11c1e9d2bc5a9
CCTV4中文国际,https://api.fltv.top/lives/migu.php?id=CCTV4中文国际&type=1&auth_key=74ec6aebd0db90b0deaee9752cf973d09f1a5bf35fd131ddb4da03c1203b28ba&t=1746185595&session=64b3caaa186f2b60c0c11c1e9d2bc5a9
CCTV4欧洲,https://api.fltv.top/lives/migu.php?id=CCTV4欧洲&type=1&auth_key=74ec6aebd0db90b0deaee9752cf973d09f1a5bf35fd131ddb4da03c1203b28ba&t=1746185595&session=64b3caaa186f2b60c0c11c1e9d2bc5a9
CCTV4美洲,https://api.fltv.top/lives/migu.php?id=CCTV4美洲&type=1&auth_key=74ec6aebd0db90b0deaee9752cf973d09f1a5bf35fd131ddb4da03c1203b28ba&t=1746185595&session=64b3caaa186f2b60c0c11c1e9d2bc5a9
CCTV5体育,https://api.fltv.top/lives/migu.php?id=CCTV5体育&type=1&auth_key=74ec6aebd0db90b0deaee9752cf973d09f1a5bf35fd131ddb4da03c1203b28ba&t=1746185595&session=64b3caaa186f2b60c0c11c1e9d2bc5a9
CCTV5 体育赛事,https://api.fltv.top/lives/migu.php?id=CCTV5 体育赛事&type=1&auth_key=74ec6aebd0db90b0deaee9752cf973d09f1a5bf35fd131ddb4da03c1203b28ba&t=1746185595&session=64b3caaa186f2b60c0c11c1e9d2bc5a9
CCTV6电影,https://api.fltv.top/lives/migu.php?id=CCTV6电影&type=1&auth_key=74ec6aebd0db90b0deaee9752cf973d09f1a5bf35fd131ddb4da03c1203b28ba&t=1746185595&session=64b3caaa186f2b60c0c11c1e9d2bc5a9
CCTV7国防军事,https://api.fltv.top/lives/migu.php?id=CCTV7国防军事&type=1&auth_key=74ec6aebd0db90b0deaee9752cf973d09f1a5bf35fd131ddb4da03c1203b28ba&t=1746185595&session=64b3caaa186f2b60c0c11c1e9d2bc5a9
CCTV8电视剧,https://api.fltv.top/lives/migu.php?id=CCTV8电视剧&type=1&auth_key=74ec6aebd0db90b0deaee9752cf973d09f1a5bf35fd131ddb4da03c1203b28ba&t=1746185595&session=64b3caaa186f2b60c0c11c1e9d2bc5a9
CCTV9纪录,https://api.fltv.top/lives/migu.php?id=CCTV9纪录&type=1&auth_key=74ec6aebd0db90b0deaee9752cf973d09f1a5bf35fd131ddb4da03c1203b28ba&t=1746185595&session=64b3caaa186f2b60c0c11c1e9d2bc5a9
CCTV10科教,https://api.fltv.top/lives/migu.php?id=CCTV10科教&type=1&auth_key=74ec6aebd0db90b0deaee9752cf973d09f1a5bf35fd131ddb4da03c1203b28ba&t=1746185595&session=64b3caaa186f2b60c0c11c1e9d2bc5a9
CCTV11戏曲,https://api.fltv.top/lives/migu.php?id=CCTV11戏曲&type=1&auth_key=74ec6aebd0db90b0deaee9752cf973d09f1a5bf35fd131ddb4da03c1203b28ba&t=1746185595&session=64b3caaa186f2b60c0c11c1e9d2bc5a9
CCTV12社会与法,https://api.fltv.top/lives/migu.php?id=CCTV12社会与法&type=1&auth_key=74ec6aebd0db90b0deaee9752cf973d09f1a5bf35fd131ddb4da03c1203b28ba&t=1746185595&session=64b3caaa186f2b60c0c11c1e9d2bc5a9
CCTV13新闻,https://api.fltv.top/lives/migu.php?id=CCTV13新闻&type=1&auth_key=74ec6aebd0db90b0deaee9752cf973d09f1a5bf35fd131ddb4da03c1203b28ba&t=1746185595&session=64b3caaa186f2b60c0c11c1e9d2bc5a9
CCTV14少儿,https://api.fltv.top/lives/migu.php?id=CCTV14少儿&type=1&auth_key=74ec6aebd0db90b0deaee9752cf973d09f1a5bf35fd131ddb4da03c1203b28ba&t=1746185595&session=64b3caaa186f2b60c0c11c1e9d2bc5a9
CCTV15音乐,https://api.fltv.top/lives/migu.php?id=CCTV15音乐&type=1&auth_key=74ec6aebd0db90b0deaee9752cf973d09f1a5bf35fd131ddb4da03c1203b28ba&t=1746185595&session=64b3caaa186f2b60c0c11c1e9d2bc5a9
CCTV16奥利匹克,https://api.fltv.top/lives/migu.php?id=CCTV16奥利匹克&type=1&auth_key=74ec6aebd0db90b0deaee9752cf973d09f1a5bf35fd131ddb4da03c1203b28ba&t=1746185595&session=64b3caaa186f2b60c0c11c1e9d2bc5a9
CCTV17农业农村,https://api.fltv.top/lives/migu.php?id=CCTV17农业农村&type=1&auth_key=74ec6aebd0db90b0deaee9752cf973d09f1a5bf35fd131ddb4da03c1203b28ba&t=1746185595&session=64b3caaa186f2b60c0c11c1e9d2bc5a9
CETV1,https://api.fltv.top/lives/migu.php?id=CETV1&type=1&auth_key=74ec6aebd0db90b0deaee9752cf973d09f1a5bf35fd131ddb4da03c1203b28ba&t=1746185595&session=64b3caaa186f2b60c0c11c1e9d2bc5a9
