
數位頻道,#genre#
中視,http://211.23.95.147:18881/live/dtv1_h265.ts
中視新聞,http://211.23.95.147:18881/live/dtv2_h265.ts
中視經典,http://211.23.95.147:18881/live/dtv3_h265.ts
中視箐采,http://211.23.95.147:18881/live/dtv4_h265.ts
公視,http://211.23.95.147:18881/live/dtv5_h265.ts
公視台語,http://211.23.95.147:18881/live/dtv6_h265.ts
民視,http://211.23.95.147:18881/live/dtv7_h265.ts
民視新聞,http://211.23.95.147:18881/live/dtv8_h265.ts
民視台灣,http://211.23.95.147:18881/live/dtv9_h265.ts
公視3台,http://211.23.95.147:18881/live/dtv10_h265.ts
客家電視,http://211.23.95.147:18881/live/dtv11_h265.ts
原住民台,http://211.23.95.147:18881/live/dtv12_h265.ts
台視,http://211.23.95.147:18881/live/dtv13_h265.ts
台視新聞,http://211.23.95.147:18881/live/dtv14_h265.ts
台視綜合,http://211.23.95.147:18881/live/dtv15_h265.ts
華視,http://211.23.95.147:18881/live/dtv16_h265.ts
華視教育,http://211.23.95.147:18881/live/dtv17_h265.ts
華視新聞,http://211.23.95.147:18881/live/dtv18_h265.ts

兒童,http://211.23.95.147#genre#
東森幼幼,http://211.23.95.147:18881/live/25_h265.ts

綜合,#genre#
緯來綜合,http://211.23.95.147:18881/live/26_h265.ts
GTV第一,http://211.23.95.147:18881/live/27_h265.ts
GTV綜合,http://211.23.95.147:18881/live/28_h265.ts
三立台灣,http://211.23.95.147:18881/live/29_h265.ts
三立都會,http://211.23.95.147:18881/live/30_h265.ts
華藝BNC,http://211.23.95.147:18881/live/31_h265.ts
東森綜合,http://211.23.95.147:18881/live/32_h265.ts
東森超視,http://211.23.95.147:18881/live/33_h265.ts
中天綜合,http://211.23.95.147:18881/live/36_h265.ts
東風衛視,http://211.23.95.147:18881/live/37_h265.ts
年代MUCH,http://211.23.95.147:18881/live/38_h265.ts
中天娛樂,http://211.23.95.147:18881/live/39_h265.ts
東森戲劇,http://211.23.95.147:18881/live/40_h265.ts
GTV戲劇,http://211.23.95.147:18881/live/41_h265.ts
TVBS-G,http://211.23.95.147:18881/live/42_h265.ts
緯來戲劇,http://211.23.95.147:18881/live/43_h265.ts
JET綜合,http://211.23.95.147:18881/live/45_h265.ts

新聞,#genre#
壹電視新聞,http://211.23.95.147:18881/live/49_h265.ts
年代新聞,http://211.23.95.147:18881/live/50_h265.ts
東森新聞,http://211.23.95.147:18881/live/51_h265.ts
三立新聞,http://211.23.95.147:18881/live/54_h265.ts
TVBS新聞,http://211.23.95.147:18881/live/55_h265.ts
TVBS-N,http://211.23.95.147:18881/live/56_h265.ts
東森財經新聞,http://211.23.95.147:18881/live/57_h265.ts
非凡新聞,http://211.23.95.147:18881/live/58_h265.ts

電影,#genre#
緯來電影,http://211.23.95.147:18881/live/63_h265.ts
HBO,http://211.23.95.147:18881/live/65_h265.ts
AXN,http://211.23.95.147:18881/live/67_h265.ts
好萊塢電影,http://211.23.95.147:18881/live/68_h265.ts
AMC電影,http://211.23.95.147:18881/live/69_h265.ts
緯來育樂,http://211.23.95.147:18881/live/70_h265.ts
CINEMAX,http://211.23.95.147:18881/live/71_h265.ts

體育,#genre#
緯來體育,http://211.23.95.147:18881/live/72_h265.ts
ELEVEN1,http://211.23.95.147:18881/live/73_h265.ts
ELEVEN2,http://211.23.95.147:18881/live/74_h265.ts
緯來日本,http://211.23.95.147:18881/live/77_h265.ts
國興衛視,http://211.23.95.147:18881/live/78_h265.ts
鏡電視新聞,http://211.23.95.147:18881/live/86_h265.ts
非凡商業,http://211.23.95.147:18881/live/89_h265.ts
NHK,http://211.23.95.147:18881/live/95_h265.ts
壹電影,http://211.23.95.147:18881/live/102_h265.ts
壹綜合,http://211.23.95.147:18881/live/104_h265.ts

大陸頻道,#genre#
海峽衛視,http://211.23.95.147:18881/live/105_h265.ts
CCTV-4,http://211.23.95.147:18881/live/106_h265.ts
廈門衛視,ttp://211.23.95.147:18881/live/107_h265.ts
